,period,msn,seriesDescription,value,unit
0,2022-01,ARICBUS,Asphalt and Road Oil Consumed by the Industrial Sector in Trillion Btu,50.224,Trillion Btu
1,2022-01,ARICPUS,Asphalt and Road Oil Consumed by the Industrial Sector in Thousand Barrels per Day,244.143,Thousand Barrels per Day
2,2022-01,ARNFBUS,Asphalt & Road Oil Non-Combustion Consumption in Quadrillion Btu,0.050224,Quadrillion Btu
3,2022-01,ARNFPUS,Asphalt & Road Oil Non-Combustion Consumption in Thousand Barrels per Day,244.143,Thousand Barrels per Day
4,2022-01,ARTCBUS,Asphalt and Road Oil Product Supplied in Trillion Btu,50.224,Trillion Btu
5,2022-01,ARTCPUS,Asphalt and Road Oil Product Supplied in Thousand Barrels per Day,244.143,Thousand Barrels per Day
6,2022-01,AVACBUS,Aviation Gasoline Consumed by the Transportation Sector in Trillion Btu,1.146,Trillion Btu
7,2022-01,AVACEUS,Aviation Gasoline Transportation Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,0.079,Million Metric Tons of Carbon Dioxide
8,2022-01,AVACPUS,Aviation Gasoline Consumed by the Transportation Sector in Thousand Barrels per Day,7.323,Thousand Barrels per Day
9,2022-01,AVTCBUS,Aviation Gasoline Product Supplied in Trillion Btu,1.146,Trillion Btu
10,2022-01,AVTCEUS,Aviation Gasoline CO2 Emissions in Million Metric Tons of Carbon Dioxide,0.079,Million Metric Tons of Carbon Dioxide
11,2022-01,AVTCPUS,Aviation Gasoline Product Supplied in Thousand Barrels per Day,7.323,Thousand Barrels per Day
12,2022-01,AVTCUUS,Average Refiner Price of Finished Aviation Gasoline to End Users in Dollars per Gallon Excluding Taxes,3.689,Dollars per Gallon Excluding Taxes
13,2022-01,AVWHUUS,Average Refiner Price of Finished Aviation Gasoline for Resale in Dollars per Gallon Excluding Taxes,3.373,Dollars per Gallon Excluding Taxes
14,2022-01,B1ACBUS,Renewable Diesel Fuel Consumed by the Transportation Sector  in Trillion Btu,15.974,Trillion Btu
15,2022-01,B1FDBUS,Renewable Diesel Fuel Feedstock in Trillion Btu,Not Available,Trillion Btu
16,2022-01,B1IMPUS,Renewable Diesel Fuel Imports in Thousand Barrels,632,Thousand Barrels
17,2022-01,B1LCBUS,Renewable Diesel Fuel Losses and Co-products in Trillion Btu,Not Available,Trillion Btu
18,2022-01,B1PRBUS,Renewable Diesel Fuel Production in Trillion Btu,14.462,Trillion Btu
19,2022-01,B1PRMUS,Renewable Diesel Fuel Production in Million Gallons,110.562,Million Gallons
20,2022-01,B1PRPUS,Renewable Diesel Fuel Production in Thousand Barrels,2632.417,Thousand Barrels
21,2022-01,B1PSPUS,Renewable Diesel Fuel Stocks in Thousand Barrels,2709.717,Thousand Barrels
22,2022-01,B1SCPUS,Renewable Diesel Fuel Stock Change in Thousand Barrels,356.965,Thousand Barrels
23,2022-01,B1TCBUS,Renewable Diesel Fuel Consumption in Trillion Btu,15.974,Trillion Btu
24,2022-01,B1TCMUS,Renewable Diesel Fuel Consumption in Million Gallons,122.113,Million Gallons
25,2022-01,B1TCPUS,Renewable Diesel Fuel Consumption in Thousand Barrels,2907.452,Thousand Barrels
26,2022-01,BDACBUS,Biodiesel Consumed by the Transportation Sector in Trillion Btu,10.556,Trillion Btu
27,2022-01,BDEXPUS,Biodiesel Exports in Thousand Barrels,1124.268,Thousand Barrels
28,2022-01,BDFDBUS,Biodiesel Feedstock in Trillion Btu,15.53,Trillion Btu
29,2022-01,BDIMPUS,Biodiesel Imports in Thousand Barrels,388,Thousand Barrels
30,2022-01,BDLCBUS,Biodiesel Losses and Co-products in Trillion Btu,0.212,Trillion Btu
31,2022-01,BDNIPUS,Biodiesel Net Imports in Thousand Barrels,-736.268,Thousand Barrels
32,2022-01,BDPRBUS,Biodiesel Production in Trillion Btu,15.318,Trillion Btu
33,2022-01,BDPRMUS,Biodiesel Production in Million Gallons,120.053,Million Gallons
34,2022-01,BDPRPUS,Biodiesel Production in Thousand Barrels,2858.398,Thousand Barrels
35,2022-01,BDPSPUS,"Biodiesel Stocks, End of Period in Thousand Barrels",4336.585,Thousand Barrels
36,2022-01,BDSCPUS,Biodiesel Stock Change in Thousand Barrels,152.301,Thousand Barrels
37,2022-01,BDTCBUS,Biodiesel Consumption in Trillion Btu,10.556,Trillion Btu
38,2022-01,BDTCEUS,Biodiesel CO2 Emissions in Million Metric Tons of Carbon Dioxide,0.779,Million Metric Tons of Carbon Dioxide
39,2022-01,BDTCMUS,Biodiesel Consumption in Million Gallons,82.733,Million Gallons
40,2022-01,BDTCPUS,Biodiesel Consumption in Thousand Barrels,1969.829,Thousand Barrels
41,2022-01,BFIMBUS,Biomass Imports in Quadrillion Btu,6.444,Quadrillion Btu
42,2022-01,BFLCBUS,Biomass Losses and Co-products in the Industrial Sector in Trillion Btu,70.949,Trillion Btu
43,2022-01,BFPRBUS,Biofuels Production in Trillion Btu,214.238,Trillion Btu
44,2022-01,BFTCBUS,Biofuels Consumption in Trillion Btu,187.917,Trillion Btu
45,2022-01,BMACBUS,Total Biomass Energy Consumed by the Transportation Sector in Trillion Btu,113.118,Trillion Btu
46,2022-01,BMACEUS,Biomass Transportation Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,6.64,Million Metric Tons of Carbon Dioxide
47,2022-01,BMCCBUS,Total Biomass Energy Consumed by the Commercial Sector in Trillion Btu,12.543,Trillion Btu
48,2022-01,BMCCEUS,Biomass Commercial Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,1.11,Million Metric Tons of Carbon Dioxide
49,2022-01,BMEIBUS,Total Biomass Energy Consumed by the Electric Power Sector in Trillion Btu,35.38,Trillion Btu
50,2022-01,BMEIEUS,Biomass Electric Power Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,3.26,Million Metric Tons of Carbon Dioxide
51,2022-01,BMEXBUS,Biomass Exports in Quadrillion Btu,0.02616,Quadrillion Btu
52,2022-01,BMICBUS,Total Biomass Energy Consumed by the Industrial Sector in Trillion Btu,198.409,Trillion Btu
53,2022-01,BMICEUS,Biomass Industrial Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,11.87,Million Metric Tons of Carbon Dioxide
54,2022-01,BMNIBUS,Biomass Net Imports in Quadrillion Btu,-0.019716,Quadrillion Btu
55,2022-01,BMPRBUS,Total Biomass Energy Production in Trillion Btu,436.735,Trillion Btu
56,2022-01,BMRCBUS,Biomass Energy Consumed by the Residential Sector in Trillion Btu,41.084,Trillion Btu
57,2022-01,BMRCEUS,Biomass Residential Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,3.854,Million Metric Tons of Carbon Dioxide
58,2022-01,BMTCBUS,Total Biomass Energy Consumption in Trillion Btu,400.534,Trillion Btu
59,2022-01,BMTCEUS,Biomass CO2 Emissions in Million Metric Tons of Carbon Dioxide,26.733,Million Metric Tons of Carbon Dioxide
60,2022-01,BOACBUS,Other Biofuels Consumed by the Transportation Sector  in Trillion Btu,0.961,Trillion Btu
61,2022-01,BOFDBUS,Other Biofuels Feedstock in Trillion Btu,Not Available,Trillion Btu
62,2022-01,BOIMPUS,Other Biofuels Imports in Thousand Barrels,No Data Reported,Thousand Barrels
63,2022-01,BOLCBUS,Other Biofuels Losses and Co-products in Trillion Btu,Not Available,Trillion Btu
64,2022-01,BOPRBUS,Other Biofuels Production in Trillion Btu,1.65,Trillion Btu
65,2022-01,BOPRMUS,Other Biofuels Production in Million Gallons,12.929,Million Gallons
66,2022-01,BOPRPUS,Other Biofuels Production in Thousand Barrels,307.824,Thousand Barrels
67,2022-01,BOPSPUS,Other Biofuels Stocks in Thousand Barrels,211.101,Thousand Barrels
68,2022-01,BOSCPUS,Other Biofuels Stock Change in Thousand Barrels,128.555,Thousand Barrels
69,2022-01,BOTCBUS,Other Biofuels Consumption in Trillion Btu,0.961,Trillion Btu
70,2022-01,BOTCMUS,Other Biofuels Consumption in Million Gallons,7.529,Million Gallons
71,2022-01,BOTCPUS,Other Biofuels Consumption in Thousand Barrels,179.269,Thousand Barrels
72,2022-01,BTC9PUS,"Battery Storage Commercial Sector, Net Summer Capacity in Million Kilowatts",0.045,Million Kilowatts
73,2022-01,BTGBPUS,"Battery Storage, Net Summer Capacity in Million Kilowatts",4.837,Million Kilowatts
74,2022-01,BTI9PUS,"Battery Storage Industrial Sector, Net Summer Capacity in Million Kilowatts",0.003,Million Kilowatts
75,2022-01,BTL9PUS,"Battery Storage Electric Power Sector, Net Summer Capacity in Million Kilowatts",4.788,Million Kilowatts
76,2022-01,CCEXBUS,Coal Coke Exports in Quadrillion Btu,5.848,Quadrillion Btu
77,2022-01,CCIMBUS,Coal Coke Imports in Quadrillion Btu,0.113,Quadrillion Btu
78,2022-01,CCNIBUS,Coal Coke Net Imports in Quadrillion Btu,-0.005734,Quadrillion Btu
79,2022-01,CCNIEUS,Coal Coke Net Imports CO2 Emissions in Million Metric Tons of Carbon Dioxide,-0.652,Million Metric Tons of Carbon Dioxide
80,2022-01,CKTCEUS,"Coal, Including Coal Coke Net Imports, CO2 Emissions in Million Metric Tons of Carbon Dioxide",95.812,Million Metric Tons of Carbon Dioxide
81,2022-01,CLACBUS,Coal Consumed by the Transportation Sector in Trillion Btu,0,Trillion Btu
82,2022-01,CLACEUS,Coal Transportation Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,0,Million Metric Tons of Carbon Dioxide
83,2022-01,CLACPUS,Coal Consumed by the Transportation Sector in Thousand Short Tons,0,Thousand Short Tons
84,2022-01,CLC1PUS,"Coal Consumption for Electricity Generation, Commercial Sector in Thousand Short Tons",7.577,Thousand Short Tons
85,2022-01,CLC3PUS,"Coal Consumption for Electricity Generation and Useful Thermal Output, Commercial Sector in Thousand Short Tons",46.407,Thousand Short Tons
86,2022-01,CLC4PUS,"Coal Consumed by the Commercial Sector, Other in Thousand Short Tons",46.71,Thousand Short Tons
87,2022-01,CLC5PUS,"Electricity Net Generation From Coal, Commercial Sector in Million Kilowatthours",29.146,Million Kilowatthours
88,2022-01,CLC9PUS,"Coal Commercial Sector, Net Summer Capacity in Million Kilowatts",0.078,Million Kilowatts
89,2022-01,CLCCBUS,Coal Consumed by the Commercial Sector in Trillion Btu,1.713,Trillion Btu
90,2022-01,CLCCEUS,Coal Commercial Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,0.165,Million Metric Tons of Carbon Dioxide
91,2022-01,CLCCPUS,"Coal Consumed by the Commercial Sector, Total in Thousand Short Tons",93.117,Thousand Short Tons
92,2022-01,CLECPUS,"Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors in Thousand Short Tons",49560.777,Thousand Short Tons
93,2022-01,CLEGPUS,"Electricity Net Generation From Coal, Electric Power Sector in Million Kilowatthours",86985.842,Million Kilowatthours
94,2022-01,CLEIBUS,Coal Consumed by the Electric Power Sector in Trillion Btu,920.845,Trillion Btu
95,2022-01,CLEIEUS,Coal Electric Power Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,88.192,Million Metric Tons of Carbon Dioxide
96,2022-01,CLEIPUS,"Coal Consumption for Electricity Generation and Useful Thermal Output, Electric Power Sector in Thousand Short Tons",48616.468,Thousand Short Tons
97,2022-01,CLEKPUS,"Coal Stocks, Electric Power Sector, End of Period in Thousand Short Tons",84532.528,Thousand Short Tons
98,2022-01,CLEPPUS,"Coal Consumption for Electricity Generation, All Sectors in Thousand Short Tons",48479.532,Thousand Short Tons
99,2022-01,CLERDUS,"Average Cost of Coal Receipts at Electric Generating Plants in Dollars per Million Btu, Including Taxes",2.2,"Dollars per Million Btu, Including Taxes"
100,2022-01,CLETPUS,"Electricity Net Generation From Coal, All Sectors in Million Kilowatthours",87471.282,Million Kilowatthours
101,2022-01,CLEXBUS,Coal Exports in Quadrillion Btu,138.281,Quadrillion Btu
102,2022-01,CLEXPUS,Coal Exports in Thousand Short Tons,5710.333,Thousand Short Tons
103,2022-01,CLGBPUS,"Coal, Net Summer Capacity  in Million Kilowatts",208.986,Million Kilowatts
104,2022-01,CLI1PUS,"Coal Consumption for Electricity Generation, Industrial Sector in Thousand Short Tons",148.209,Thousand Short Tons
105,2022-01,CLI3PUS,"Coal Consumption for Electricity Generation and Useful Thermal Output, Industrial Sector in Thousand Short Tons",897.902,Thousand Short Tons
106,2022-01,CLI4PUS,"Coal Consumed by the Other Industrial Sector, Non-CHP in Thousand Short Tons",1306.595,Thousand Short Tons
107,2022-01,CLI5PUS,"Electricity Net Generation From Coal, Industrial Sector in Million Kilowatthours",456.294,Million Kilowatthours
108,2022-01,CLI9PUS,"Coal Industrial Sector, Net Summer Capacity in Million Kilowatts",1.422,Million Kilowatts
109,2022-01,CLICBUS,Coal Consumed by the Industrial Sector in Trillion Btu,86.424,Trillion Btu
110,2022-01,CLICEUS,Coal Industrial Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,8.107,Million Metric Tons of Carbon Dioxide
111,2022-01,CLICPUS,"Coal Consumed by the Industrial Sector, Total in Thousand Short Tons",3636.858,Thousand Short Tons
112,2022-01,CLIMBUS,Coal Imports in Quadrillion Btu,10.202,Quadrillion Btu
113,2022-01,CLIMPUS,Coal Imports in Thousand Short Tons,502.665,Thousand Short Tons
114,2022-01,CLKCPUS,"Coal Consumed by the Industrial Sector, Coke Plants in Thousand Short Tons",1432.361,Thousand Short Tons
115,2022-01,CLL1PUS,"Coal Consumption for Electricity Generation, Electric Power Sector in Thousand Short Tons",48323.746,Thousand Short Tons
116,2022-01,CLL9PUS,"Coal Electric Power Sector, Net Summer Capacity in Million Kilowatts",207.486,Million Kilowatts
117,2022-01,CLLUPUS,Coal Losses and Unaccounted for in Thousand Short Tons,-423.518,Thousand Short Tons
118,2022-01,CLNFBUS,Coal Non-Combustion Consumption in Quadrillion Btu,0.001328,Quadrillion Btu
119,2022-01,CLNFPUS,Coal Non-Combustion Consumption in Thousand Short Tons,41.49,Thousand Short Tons
120,2022-01,CLNIBUS,Coal Net Imports in Quadrillion Btu,-0.12808,Quadrillion Btu
121,2022-01,CLNIPUS,Coal Net Imports in Thousand Short Tons,-5207.668,Thousand Short Tons
122,2022-01,CLOCPUS,"Coal Consumed by the Other Industrial Sector, Total in Thousand Short Tons",2204.497,Thousand Short Tons
123,2022-01,CLPRBUS,Coal Production in Quadrillion Btu,1000.013,Quadrillion Btu
124,2022-01,CLPRPUS,Coal Production in Thousand Short Tons,49780.834,Thousand Short Tons
125,2022-01,CLPSPUS,"Coal Stocks, Total, End of Period in Thousand Short Tons",108692.13,Thousand Short Tons
126,2022-01,CLRCBUS,Coal Consumed by the Residential Sector in Trillion Btu,Not Available,Trillion Btu
127,2022-01,CLRCEUS,Coal Residential Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,Not Available,Million Metric Tons of Carbon Dioxide
128,2022-01,CLRCPUS,Coal Consumed by the Residential Sector in Thousand Short Tons,Not Available,Thousand Short Tons
129,2022-01,CLSCPUS,Coal Stock Change in Thousand Short Tons,-6663.615,Thousand Short Tons
130,2022-01,CLSDPUS,"Coal Stocks, Producers and Distributors, End of Period in Thousand Short Tons",19804,Thousand Short Tons
131,2022-01,CLSHPUS,"Coal Stocks, Residential and Commercial Sectors, End of Period in Thousand Short Tons",169.671,Thousand Short Tons
132,2022-01,CLSIPUS,"Coal Stocks, Industrial Sector, Total, End of Period in Thousand Short Tons",4185.931,Thousand Short Tons
133,2022-01,CLSJPUS,"Coal Stocks, End-Use Sectors Total, End of Period in Thousand Short Tons",4355.602,Thousand Short Tons
134,2022-01,CLSKPUS,"Coal Stocks, Industrial Sector, Coke Plants, End of Period in Thousand Short Tons",1635.589,Thousand Short Tons
135,2022-01,CLSOPUS,"Coal Stocks, Industrial Sector, Other, End of Period in Thousand Short Tons",2550.342,Thousand Short Tons
136,2022-01,CLTCBUS,Coal Consumption in Quadrillion Btu,1011.909,Quadrillion Btu
137,2022-01,CLTCPUS,"Coal Consumption, Total in Thousand Short Tons",52346.443,Thousand Short Tons
138,2022-01,CODPUUS,Average Crude Oil Domestic First Purchase Price in Dollars per Barrel,80.33,Dollars per Barrel
139,2022-01,COEXBUS,Crude Oil Exports in Quadrillion Btu,594.024,Quadrillion Btu
